"R2-308;ENEL PRODUZIONE S.P.A. (IT);Viale Regina Margherita, 125;;00198, Roma (Italia);Extranjero;;N;5617841001;;18/03/2013;;Baja"
"R2-309;ENEL TRADE S.P.A.;Viale Regina Margherita, 125;;00198, Roma (Italia);Extranjero;;;5918271007;;18/03/2013;;Baja"
"R2-310;J. ARON & COMPANY;Goldman Sachs International, Plumtree Court, 25 Shoe Lane;;London EC4A 4AU (ESTADOS UNIDOS);Extranjero;;;133092284;;;;"
"R2-311;KALIBRA XE FRANCE SAS;8 RUE DES ACACIAS;;75017 Paris, Francia;Extranjero;;N;B08280061;;13/09/2011;;Baja"
"R2-312;MERRIL LYNCH COMMODITIES (EUROPE) LIMITED;Merril Lynch Financial Centre, 2 King Edward Street;;Londres EC1A 1HQ (Inglaterra);Extranjero;;;GB245122493;;19/03/2013;;Baja"
"R2-313;MORGAN STANLEY CAPITAL GROUP INC;1209 Orange Street, Wilmington Delaware 19801;;Nueva York, NY, 10036 (USA);Extranjero;;P;US133200368;;18/03/2013;;Baja"
"R2-314;OFFICE NATIONAL DE L'ELECTRICITÉ ET L'EAU POTABLE (ONEE);65, Rue Othman Ben Affane 20000 CASA-MAROC-BP;;13498 CASABLANCA 20001 (MARRUECOS);Extranjero;;;1085135;;;www.one.org.ma;"
"R2-315;REDE ELECTRICA NACIONAL, S.A.;Avda. Estados Unidos da América, 55;1749-061;Lisboa, Portugal;Extranjero;;;503264032;;05/05/2010;;Baja"
"R2-316;RWE SUPPLY & TRADING GMGH;Huysenalle 2;;45128 Essen (Alemania);Extranjero;;N;813022070;;19/03/2013;;Baja"
"R2-317;SHELL ENERGY TRADING LIMITED;80 Strand;;Londres WC2R OZA (Reino Unido);Extranjero;;N;GB235763255(146);;;www.shell.us;"
"R2-318;SONELGAZ;2, Bd Krim Belkacem;;3806,04 Alger;Extranjero;;N;96916010012742000;;;;"
"R2-319;STATKRAFT MARKETS GMBH;Niederkasseier Lohweg, 18;;40547 Düsseldorf (Alemania);Extranjero;;INT FR;DE204011192;;;www.statkraft.com;"
"R2-320;TOTAL GAS & POWER LIMITED;10 Upper Bank Street, Canary Wharf;;London E14 5BF (Reino Unido);Extranjero;;N;CHE-309.541.427;;;www.totalgp.com;"
"R2-321;ELECTRICA VINALESA, S.L.U;ROLL DES ORTS 24;;VINALESA;Valencia;900 90 10 68;N;B97062491;;02/01/2019;www.coop-vinalesa.com;Baja"
"R2-322;HIDROELECTRICA DE SILLEDA SL;C/ NUÑEZ DE BALBOA, 12;28001;MADRID;Madrid;900 103 325;N;B81997439;;02/01/2017;www.hidroelectricasilleda.com;Baja"
"R2-323;ELECTRICA DE MOSCOSO S.L;AVENIDA DO CONCELLO 21;36830;A LAMA;Pontevedra;900 102 063;N;B36000180;;13/03/2016;www.emoscoso.com;Baja"
"R2-324;SOCIEDAD ELECTRICISTA DE TUY, S.A.;C/ CORUÑA Nº20;36700;TUY;Pontevedra;900 100 202;N;A36000073;;30/11/2016;www.setatui.com;Baja"
"R2-325;ENERGIAS DE BENASQUE S.L;PLAZA DEL AYUNTAMIENTO 1;22440;BENASQUE;Huesca;900 102 303;N;B22215487;;14/07/2017;www.benasque.es;Baja"
"R2-326;ELECTRA CUNTIENSE, SL;RUA DO BALNEARIO, 1;36670;CUNTIS;Pontevedra;800 760 218;N;B36350361;;20/12/2016;www.electracuntiense.com;Baja"
"R2-327;HIDROELECTRICA LUMYMEY SL UNIPERSONAL;RUA ROCAMADOR, 2;15800;MELIDE;La Coruña;900 70 11 52;N;B15552060;;;;"
"R2-329;CURENERGÍA COMERCIALIZADOR DE ÚLTIMO RECURSO S.A.U.;PLAZA EUSKADI Nº5;48009;BILBAO;Vizcaya;900 200 708;N;A95554630;09/06/2009;;www.curenergia.es;"
"R2-330;DISTRIBUCION Y ELECTRICA CARIDAD E ILDEFONSO, S.L;SAN ANTONIO, 9;02695;VILLAR DE CHINCHILLA;Albacete;900 102 054;N;B02261535;;22/05/2017;;Baja"
"R2-331;COMERCIALIZADORA SUMINISTROS ESPECIALES ALGINETENSES, S.L;POETA JUAN ALEGRE, 7;46230;ALGINET;Valencia;900 850 510;N;B97007975;;;www.electricadealginet.com;"
"R2-332;SOCIETAT MUNICIPAL DE DISTRIBUCIÓ ELECTRICA DE TIRVIA, S.L.;PLAZA DEL AYUNTAMIENTO, 1;25595;TIRVIA;Lérida;900 373 916;N;B25583147;;03/02/2020;;Baja"
"R2-333;ELECTRA ADURIZ SA;C/ ALGORTA, Nº 10, BAJO;09500;MEDINA DE POMAR;Burgos;900 373 049;N;A09019936;;01/01/2016;www.aduriz.es;Baja"
"R2-334;ELÉCTRICA DE BARBASTRO, S.A.;C/ ESCUELAS PÍAS, 12;22300;BARBASTRO;Huesca;900 190 300;P;A22194856;;12/12/2016;www.aguasdebarbastro.es;Baja"
"R2-335;DISTRIBUIDORA ELECTRICA MONTOLIU SL;CARRER ORIENT, 3;25172;MONTOLIU;Lérida;900 103 601;N;B25445693;;29/10/2017;;Baja"
"R2-336;ELECTRICA SUDANELL SL;PLAZA DEL AYUNTAMIENTO, 4;25173;SUDANELL;Lérida;900 103 648;N;B25483967;;03/08/2017;sudanell.ddl.net;Baja"
