ES3118;635400FTUWGNM6CHRI73;"Caixa Rural Torrent Cooperativa de Credit Valenciana";Entidad de crédito;"Av al Vedat, 3, 46900, Torrent (Valencia)";No;;"3118"
ES3174;95980020140005382222;"Caixa Rural Vinarós, S. Coop. de Credit. V.";Entidad de crédito;"Cl San Cristóbal, 19, 12500, Vinarós (Castellón)";No;;"3174"
ES8776;959800VZJT69ALGPYF88;"Caixabank Payments & Consumer, E.F.C., E.P., S.A.";Otra institución;"Cl Caleruega, 102, 28033, Madrid";Sí;;"8776"
ES2100;7CUNS533WID6K7DGFI87;"Caixabank, S.A.";Entidad de crédito;"Cl Pintor Sorolla 2-4, 46002, Valencia";Sí;;"2100"
ES2045;95980020140005436542;"Caja de Ahorros y Monte de Piedad de Ontinyent";Entidad de crédito;"Pz Santo Domingo 24, 46870, Ontinyent (Valencia)";No;;"2045"
ES3029;635400AOYRRGOJUGAX32;"Caja de Crédito de Petrel, Caja Rural, Cooperativa de Crédito Valenciana";Entidad de crédito;"Cl San Bartolomé,2, 03610, Petrer (Alicante)";No;;"3029"
ES3035;549300G3C8M0WXQCWH61;"Caja Laboral Popular Coop. de Crédito";Entidad de crédito;"Ps Jose María Arizmendiarrieta S/N, 20500, Mondragón (Guipúzcoa)";Sí;;"3035"
ES3115;959800STU2BCZ8XZG570;"Caja Rural 'Nuestra Madre del Sol', S. Coop. Andaluza de Crédito";Entidad de crédito;"Cl Alto Guadalquivir, 4, 14430, Adamuz (Córdoba)";No;;"3115"
ES3110;635400T8P82JKHPUBD58;"Caja Rural Católico Agraria, S. Coop. de Crédito V.";Entidad de crédito;"Pz Mayor, 10, 12540, Villarreal de los Infantes (Castellón)";No;;"3110"
ES3005;95980020140005487079;"Caja Rural Central, Sociedad Cooperativa de Crédito";Entidad de crédito;"Cl José María Sarget 29, 03300, Orihuela (Alicante)";Sí;;"3005"
ES3190;95980020140005484654;"Caja Rural de Albacete, Ciudad Real y Cuenca, Sociedad Cooperativa de Crédito";Entidad de crédito;"Cl Tesifonte Gallego, 18, 02002, Albacete";Sí;;"3190"
ES3150;95980020140005350406;"Caja Rural de Albal, Coop. de Crédito V.";Entidad de crédito;"Pz del Jardí, 24, 46470, Albal (Valencia)";No;;"3150"
ES3179;635400AQCMGMEAGQB886;"Caja Rural de Alginet, Sociedad Cooperativa Crédito Valenciana";Entidad de crédito;"Cl Valencia 13, 46230, Alginet (Valencia)";No;;"3179"
ES3001;95980020140005937353;"Caja Rural de Almendralejo, Sociedad Cooperativa de Crédito";Entidad de crédito;"Pz de San Antonio, s/n, 06200, Almendralejo (Badajoz)";Sí;;"3001"
ES3191;95980020140005012943;"Caja Rural de Aragón, Sociedad Cooperativa de Crédito";Entidad de crédito;"CI Coso 29, 50003, Zaragoza";Sí;;"3191"
ES3059;95980020140005219553;"Caja Rural de Asturias, Sociedad Cooperativa de Crédito";Entidad de crédito;"Cl Melquiades Álvarez,7, 33002, Oviedo";Sí;;"3059"
ES3089;95980020140005396869;"Caja Rural de Baena Ntra. Sra. de Guadalupe Sociedad Cooperativa de Crédito Andaluza";Entidad de crédito;"Cl  Duque de Rivas, 3, 14850, Baena (Córdoba)";No;;"3089"
ES3060;95980020140005485624;"Caja Rural de Burgos, Fuentepelayo, Segovia y Castelldans, Sociedad Cooperativa de Crédito";Entidad de crédito;"Cl. LosCoches, 2-4, 40002, Segovia";Sí;;"3060"
ES3104;95980050FR4XC5F5QU23;"Caja Rural de Cañete de Las Torres Ntra. Sra. del Campo Sociedad Cooperativa Andaluza de Crédito";Entidad de crédito;"Pza de España, 5, 14660, Cañete de Las Torres (Córdoba)";No;;"3104"
ES3127;95980020140005993904;"Caja Rural de Casas Ibáñez, S. Coop. de Crédito de Castilla-La Mancha";Entidad de crédito;"Cl Tercia, 49, 02200, Casas Ibáñez (Albacete)";No;;"3127"
ES3121;635400OVO6HWLUD2YY08;"Caja Rural de Cheste, Sociedad Cooperativa de Crédito Valenciana";Entidad de crédito;"Pz Dr. Cajal, 2, 46380, Cheste (Valencia)";No;;"3121"
ES3009;95980020140005212375;"Caja Rural de Extremadura, Sociedad Cooperativa de Crédito";Entidad de crédito;"Av de Santa Marina 15, 06005, Badajoz";No;;"3009"
ES3007;95980020140005480580;"Caja Rural de Gijón, Sociedad Cooperativa Asturiana de Crédito";Entidad de crédito;"Ps de la Infancia, 10, 33207, Gijón (Oviedo)";No;;"3007"
ES3023;95980020140005220135;"Caja Rural de Granada, Sociedad Cooperativa de Crédito";Entidad de crédito;"Av Don Bosco, 2, 18006, Granada";Sí;;"3023"
ES3140;95980020140005925519;"Caja Rural de Guissona, Sociedad Cooperativa de Crédito";Entidad de crédito;"Cl Traspalau, 8, 25210, Guissona (Lérida)";No;;"3140"
ES3067;95980020140005418403;"Caja Rural de Jaén, Barcelona y Madrid, Sociedad Cooperativa de Crédito";Entidad de crédito;"Cl El Condado, 23, 23620, Mengibar (Jaén)";Sí;;"3067"
ES3008;95980020140005439549;"Caja Rural de Navarra, S. Coop. de Crédito ";Entidad de crédito;"Pz de los Fueros, 1, 31003, Pamplona (Navarra)";Sí;;"3008"
ES3098;95980020140005992740;"Caja Rural de Nueva Carteya,  Sociedad Cooperativa Andaluza de Crédito";Entidad de crédito;"Av Andalucía, 6, 14857, Nueva Carteya (Córdoba)";No;;"3098"
ES3016;95980020140005429655;"Caja Rural de Salamanca, Sociedad Cooperativa de Crédito";Entidad de crédito;"Puerta de Zamora, 2, 37005, Salamanca";No;;"3016"
ES3017;95980020140005396966;"Caja Rural de Soria, Sociedad Cooperativa de Crédito";Entidad de crédito;"Cl Diputación,1, 42003, Soria";Sí;;"3017"
ES3080;95980020140005417336;"Caja Rural de Teruel, Sociedad Cooperativa de Crédito";Entidad de crédito;"Pz Carlos Castel, 14, 44001, Teruel";Sí;;"3080"
ES3020;95980020140005219941;"Caja Rural de Utrera, Sociedad Cooperativa Andaluza de Crédito";Entidad de crédito;"Pz del Altozano, 22, 41710, Utrera (Sevilla)";No;;"3020"
